config_id,base0_ambulances,base1_ambulances,base2_ambulances,base3_ambulances,base4_ambulances
250,0,0,7,19,9
251,0,0,7,20,8
252,0,0,7,21,7
253,0,0,7,22,6
254,0,0,7,23,5
255,0,0,7,24,4
256,0,0,7,25,3
257,0,0,7,26,2
258,0,0,7,27,1
259,0,0,7,28,0
260,0,0,8,0,27
261,0,0,8,1,26
262,0,0,8,2,25
263,0,0,8,3,24
264,0,0,8,4,23
265,0,0,8,5,22
266,0,0,8,6,21
267,0,0,8,7,20
268,0,0,8,8,19
269,0,0,8,9,18
270,0,0,8,10,17
271,0,0,8,11,16
272,0,0,8,12,15
273,0,0,8,13,14
274,0,0,8,14,13
275,0,0,8,15,12
276,0,0,8,16,11
277,0,0,8,17,10
278,0,0,8,18,9
279,0,0,8,19,8
280,0,0,8,20,7
281,0,0,8,21,6
282,0,0,8,22,5
283,0,0,8,23,4
284,0,0,8,24,3
285,0,0,8,25,2
286,0,0,8,26,1
287,0,0,8,27,0
288,0,0,9,0,26
289,0,0,9,1,25
290,0,0,9,2,24
291,0,0,9,3,23
292,0,0,9,4,22
293,0,0,9,5,21
294,0,0,9,6,20
295,0,0,9,7,19
296,0,0,9,8,18
297,0,0,9,9,17
298,0,0,9,10,16
299,0,0,9,11,15
300,0,0,9,12,14
301,0,0,9,13,13
302,0,0,9,14,12
303,0,0,9,15,11
304,0,0,9,16,10
305,0,0,9,17,9
306,0,0,9,18,8
307,0,0,9,19,7
308,0,0,9,20,6
309,0,0,9,21,5
310,0,0,9,22,4
311,0,0,9,23,3
312,0,0,9,24,2
313,0,0,9,25,1
314,0,0,9,26,0
315,0,0,10,0,25
316,0,0,10,1,24
317,0,0,10,2,23
318,0,0,10,3,22
319,0,0,10,4,21
320,0,0,10,5,20
321,0,0,10,6,19
322,0,0,10,7,18
323,0,0,10,8,17
324,0,0,10,9,16
325,0,0,10,10,15
326,0,0,10,11,14
327,0,0,10,12,13
328,0,0,10,13,12
329,0,0,10,14,11
330,0,0,10,15,10
331,0,0,10,16,9
332,0,0,10,17,8
333,0,0,10,18,7
334,0,0,10,19,6
335,0,0,10,20,5
336,0,0,10,21,4
337,0,0,10,22,3
338,0,0,10,23,2
339,0,0,10,24,1
340,0,0,10,25,0
341,0,0,11,0,24
342,0,0,11,1,23
343,0,0,11,2,22
344,0,0,11,3,21
345,0,0,11,4,20
346,0,0,11,5,19
347,0,0,11,6,18
348,0,0,11,7,17
349,0,0,11,8,16
350,0,0,11,9,15
351,0,0,11,10,14
352,0,0,11,11,13
353,0,0,11,12,12
354,0,0,11,13,11
355,0,0,11,14,10
356,0,0,11,15,9
357,0,0,11,16,8
358,0,0,11,17,7
359,0,0,11,18,6
360,0,0,11,19,5
361,0,0,11,20,4
362,0,0,11,21,3
363,0,0,11,22,2
364,0,0,11,23,1
365,0,0,11,24,0
366,0,0,12,0,23
367,0,0,12,1,22
368,0,0,12,2,21
369,0,0,12,3,20
370,0,0,12,4,19
371,0,0,12,5,18
372,0,0,12,6,17
373,0,0,12,7,16
374,0,0,12,8,15
375,0,0,12,9,14
376,0,0,12,10,13
377,0,0,12,11,12
378,0,0,12,12,11
379,0,0,12,13,10
380,0,0,12,14,9
381,0,0,12,15,8
382,0,0,12,16,7
383,0,0,12,17,6
384,0,0,12,18,5
385,0,0,12,19,4
386,0,0,12,20,3
387,0,0,12,21,2
388,0,0,12,22,1
389,0,0,12,23,0
390,0,0,13,0,22
391,0,0,13,1,21
392,0,0,13,2,20
393,0,0,13,3,19
394,0,0,13,4,18
395,0,0,13,5,17
396,0,0,13,6,16
397,0,0,13,7,15
398,0,0,13,8,14
399,0,0,13,9,13
400,0,0,13,10,12
401,0,0,13,11,11
402,0,0,13,12,10
403,0,0,13,13,9
404,0,0,13,14,8
405,0,0,13,15,7
406,0,0,13,16,6
407,0,0,13,17,5
408,0,0,13,18,4
409,0,0,13,19,3
410,0,0,13,20,2
411,0,0,13,21,1
412,0,0,13,22,0
413,0,0,14,0,21
414,0,0,14,1,20
415,0,0,14,2,19
416,0,0,14,3,18
417,0,0,14,4,17
418,0,0,14,5,16
419,0,0,14,6,15
420,0,0,14,7,14
421,0,0,14,8,13
422,0,0,14,9,12
423,0,0,14,10,11
424,0,0,14,11,10
425,0,0,14,12,9
426,0,0,14,13,8
427,0,0,14,14,7
428,0,0,14,15,6
429,0,0,14,16,5
430,0,0,14,17,4
431,0,0,14,18,3
432,0,0,14,19,2
433,0,0,14,20,1
434,0,0,14,21,0
435,0,0,15,0,20
436,0,0,15,1,19
437,0,0,15,2,18
438,0,0,15,3,17
439,0,0,15,4,16
440,0,0,15,5,15
441,0,0,15,6,14
442,0,0,15,7,13
443,0,0,15,8,12
444,0,0,15,9,11
445,0,0,15,10,10
446,0,0,15,11,9
447,0,0,15,12,8
448,0,0,15,13,7
449,0,0,15,14,6
450,0,0,15,15,5
451,0,0,15,16,4
452,0,0,15,17,3
453,0,0,15,18,2
454,0,0,15,19,1
455,0,0,15,20,0
456,0,0,16,0,19
457,0,0,16,1,18
458,0,0,16,2,17
459,0,0,16,3,16
460,0,0,16,4,15
461,0,0,16,5,14
462,0,0,16,6,13
463,0,0,16,7,12
464,0,0,16,8,11
465,0,0,16,9,10
466,0,0,16,10,9
467,0,0,16,11,8
468,0,0,16,12,7
469,0,0,16,13,6
470,0,0,16,14,5
471,0,0,16,15,4
472,0,0,16,16,3
473,0,0,16,17,2
474,0,0,16,18,1
475,0,0,16,19,0
476,0,0,17,0,18
477,0,0,17,1,17
478,0,0,17,2,16
479,0,0,17,3,15
480,0,0,17,4,14
481,0,0,17,5,13
482,0,0,17,6,12
483,0,0,17,7,11
484,0,0,17,8,10
485,0,0,17,9,9
486,0,0,17,10,8
487,0,0,17,11,7
488,0,0,17,12,6
489,0,0,17,13,5
490,0,0,17,14,4
491,0,0,17,15,3
492,0,0,17,16,2
493,0,0,17,17,1
494,0,0,17,18,0
495,0,0,18,0,17
496,0,0,18,1,16
497,0,0,18,2,15
498,0,0,18,3,14
499,0,0,18,4,13
500,0,0,18,5,12
501,0,0,18,6,11
502,0,0,18,7,10
503,0,0,18,8,9
504,0,0,18,9,8
505,0,0,18,10,7
506,0,0,18,11,6
507,0,0,18,12,5
508,0,0,18,13,4
509,0,0,18,14,3
510,0,0,18,15,2
511,0,0,18,16,1
512,0,0,18,17,0
513,0,0,19,0,16
514,0,0,19,1,15
515,0,0,19,2,14
516,0,0,19,3,13
517,0,0,19,4,12
518,0,0,19,5,11
519,0,0,19,6,10
520,0,0,19,7,9
521,0,0,19,8,8
522,0,0,19,9,7
523,0,0,19,10,6
524,0,0,19,11,5
525,0,0,19,12,4
526,0,0,19,13,3
527,0,0,19,14,2
528,0,0,19,15,1
529,0,0,19,16,0
530,0,0,20,0,15
531,0,0,20,1,14
532,0,0,20,2,13
533,0,0,20,3,12
534,0,0,20,4,11
535,0,0,20,5,10
536,0,0,20,6,9
537,0,0,20,7,8
538,0,0,20,8,7
539,0,0,20,9,6
540,0,0,20,10,5
541,0,0,20,11,4
542,0,0,20,12,3
543,0,0,20,13,2
544,0,0,20,14,1
545,0,0,20,15,0
546,0,0,21,0,14
547,0,0,21,1,13
548,0,0,21,2,12
549,0,0,21,3,11
550,0,0,21,4,10
551,0,0,21,5,9
552,0,0,21,6,8
553,0,0,21,7,7
554,0,0,21,8,6
555,0,0,21,9,5
556,0,0,21,10,4
557,0,0,21,11,3
558,0,0,21,12,2
559,0,0,21,13,1
560,0,0,21,14,0
561,0,0,22,0,13
562,0,0,22,1,12
563,0,0,22,2,11
564,0,0,22,3,10
565,0,0,22,4,9
566,0,0,22,5,8
567,0,0,22,6,7
568,0,0,22,7,6
569,0,0,22,8,5
570,0,0,22,9,4
571,0,0,22,10,3
572,0,0,22,11,2
573,0,0,22,12,1
574,0,0,22,13,0
575,0,0,23,0,12
576,0,0,23,1,11
577,0,0,23,2,10
578,0,0,23,3,9
579,0,0,23,4,8
580,0,0,23,5,7
581,0,0,23,6,6
582,0,0,23,7,5
583,0,0,23,8,4
584,0,0,23,9,3
585,0,0,23,10,2
586,0,0,23,11,1
587,0,0,23,12,0
588,0,0,24,0,11
589,0,0,24,1,10
590,0,0,24,2,9
591,0,0,24,3,8
592,0,0,24,4,7
593,0,0,24,5,6
594,0,0,24,6,5
595,0,0,24,7,4
596,0,0,24,8,3
597,0,0,24,9,2
598,0,0,24,10,1
599,0,0,24,11,0
600,0,0,25,0,10
601,0,0,25,1,9
602,0,0,25,2,8
603,0,0,25,3,7
604,0,0,25,4,6
605,0,0,25,5,5
606,0,0,25,6,4
607,0,0,25,7,3
608,0,0,25,8,2
609,0,0,25,9,1
610,0,0,25,10,0
611,0,0,26,0,9
612,0,0,26,1,8
613,0,0,26,2,7
614,0,0,26,3,6
615,0,0,26,4,5
616,0,0,26,5,4
617,0,0,26,6,3
618,0,0,26,7,2
619,0,0,26,8,1
620,0,0,26,9,0
621,0,0,27,0,8
622,0,0,27,1,7
623,0,0,27,2,6
624,0,0,27,3,5
625,0,0,27,4,4
626,0,0,27,5,3
627,0,0,27,6,2
628,0,0,27,7,1
629,0,0,27,8,0
630,0,0,28,0,7
631,0,0,28,1,6
632,0,0,28,2,5
633,0,0,28,3,4
634,0,0,28,4,3
635,0,0,28,5,2
636,0,0,28,6,1
637,0,0,28,7,0
638,0,0,29,0,6
639,0,0,29,1,5
640,0,0,29,2,4
641,0,0,29,3,3
642,0,0,29,4,2
643,0,0,29,5,1
644,0,0,29,6,0
645,0,0,30,0,5
646,0,0,30,1,4
647,0,0,30,2,3
648,0,0,30,3,2
649,0,0,30,4,1
650,0,0,30,5,0
651,0,0,31,0,4
652,0,0,31,1,3
653,0,0,31,2,2
654,0,0,31,3,1
655,0,0,31,4,0
656,0,0,32,0,3
657,0,0,32,1,2
658,0,0,32,2,1
659,0,0,32,3,0
660,0,0,33,0,2
661,0,0,33,1,1
662,0,0,33,2,0
663,0,0,34,0,1
664,0,0,34,1,0
665,0,0,35,0,0
666,0,1,0,0,34
667,0,1,0,1,33
668,0,1,0,2,32
669,0,1,0,3,31
670,0,1,0,4,30
671,0,1,0,5,29
672,0,1,0,6,28
673,0,1,0,7,27
674,0,1,0,8,26
675,0,1,0,9,25
676,0,1,0,10,24
677,0,1,0,11,23
678,0,1,0,12,22
679,0,1,0,13,21
680,0,1,0,14,20
681,0,1,0,15,19
682,0,1,0,16,18
683,0,1,0,17,17
684,0,1,0,18,16
685,0,1,0,19,15
686,0,1,0,20,14
687,0,1,0,21,13
688,0,1,0,22,12
689,0,1,0,23,11
690,0,1,0,24,10
691,0,1,0,25,9
692,0,1,0,26,8
693,0,1,0,27,7
694,0,1,0,28,6
695,0,1,0,29,5
696,0,1,0,30,4
697,0,1,0,31,3
698,0,1,0,32,2
699,0,1,0,33,1
700,0,1,0,34,0
701,0,1,1,0,33
702,0,1,1,1,32
703,0,1,1,2,31
704,0,1,1,3,30
705,0,1,1,4,29
706,0,1,1,5,28
707,0,1,1,6,27
708,0,1,1,7,26
709,0,1,1,8,25
710,0,1,1,9,24
711,0,1,1,10,23
712,0,1,1,11,22
713,0,1,1,12,21
714,0,1,1,13,20
715,0,1,1,14,19
716,0,1,1,15,18
717,0,1,1,16,17
718,0,1,1,17,16
719,0,1,1,18,15
720,0,1,1,19,14
721,0,1,1,20,13
722,0,1,1,21,12
723,0,1,1,22,11
724,0,1,1,23,10
725,0,1,1,24,9
726,0,1,1,25,8
727,0,1,1,26,7
728,0,1,1,27,6
729,0,1,1,28,5
730,0,1,1,29,4
731,0,1,1,30,3
732,0,1,1,31,2
733,0,1,1,32,1
734,0,1,1,33,0
735,0,1,2,0,32
736,0,1,2,1,31
737,0,1,2,2,30
738,0,1,2,3,29
739,0,1,2,4,28
740,0,1,2,5,27
741,0,1,2,6,26
742,0,1,2,7,25
743,0,1,2,8,24
744,0,1,2,9,23
745,0,1,2,10,22
746,0,1,2,11,21
747,0,1,2,12,20
748,0,1,2,13,19
749,0,1,2,14,18
750,0,1,2,15,17
751,0,1,2,16,16
752,0,1,2,17,15
753,0,1,2,18,14
754,0,1,2,19,13
755,0,1,2,20,12
756,0,1,2,21,11
757,0,1,2,22,10
758,0,1,2,23,9
759,0,1,2,24,8
760,0,1,2,25,7
761,0,1,2,26,6
762,0,1,2,27,5
763,0,1,2,28,4
764,0,1,2,29,3
765,0,1,2,30,2
766,0,1,2,31,1
767,0,1,2,32,0
768,0,1,3,0,31
769,0,1,3,1,30
770,0,1,3,2,29
771,0,1,3,3,28
772,0,1,3,4,27
773,0,1,3,5,26
774,0,1,3,6,25
775,0,1,3,7,24
776,0,1,3,8,23
777,0,1,3,9,22
778,0,1,3,10,21
779,0,1,3,11,20
780,0,1,3,12,19
781,0,1,3,13,18
782,0,1,3,14,17
783,0,1,3,15,16
784,0,1,3,16,15
785,0,1,3,17,14
786,0,1,3,18,13
787,0,1,3,19,12
788,0,1,3,20,11
789,0,1,3,21,10
790,0,1,3,22,9
791,0,1,3,23,8
792,0,1,3,24,7
793,0,1,3,25,6
794,0,1,3,26,5
795,0,1,3,27,4
796,0,1,3,28,3
797,0,1,3,29,2
798,0,1,3,30,1
799,0,1,3,31,0
800,0,1,4,0,30
801,0,1,4,1,29
802,0,1,4,2,28
803,0,1,4,3,27
804,0,1,4,4,26
805,0,1,4,5,25
806,0,1,4,6,24
807,0,1,4,7,23
808,0,1,4,8,22
809,0,1,4,9,21
810,0,1,4,10,20
811,0,1,4,11,19
812,0,1,4,12,18
813,0,1,4,13,17
814,0,1,4,14,16
815,0,1,4,15,15
816,0,1,4,16,14
817,0,1,4,17,13
818,0,1,4,18,12
819,0,1,4,19,11
820,0,1,4,20,10
821,0,1,4,21,9
822,0,1,4,22,8
823,0,1,4,23,7
824,0,1,4,24,6
825,0,1,4,25,5
826,0,1,4,26,4
827,0,1,4,27,3
828,0,1,4,28,2
829,0,1,4,29,1
830,0,1,4,30,0
831,0,1,5,0,29
832,0,1,5,1,28
833,0,1,5,2,27
834,0,1,5,3,26
835,0,1,5,4,25
836,0,1,5,5,24
837,0,1,5,6,23
838,0,1,5,7,22
839,0,1,5,8,21
840,0,1,5,9,20
841,0,1,5,10,19
842,0,1,5,11,18
843,0,1,5,12,17
844,0,1,5,13,16
845,0,1,5,14,15
846,0,1,5,15,14
847,0,1,5,16,13
848,0,1,5,17,12
849,0,1,5,18,11
850,0,1,5,19,10
851,0,1,5,20,9
852,0,1,5,21,8
853,0,1,5,22,7
854,0,1,5,23,6
855,0,1,5,24,5
856,0,1,5,25,4
857,0,1,5,26,3
858,0,1,5,27,2
859,0,1,5,28,1
860,0,1,5,29,0
861,0,1,6,0,28
862,0,1,6,1,27
863,0,1,6,2,26
864,0,1,6,3,25
865,0,1,6,4,24
866,0,1,6,5,23
867,0,1,6,6,22
868,0,1,6,7,21
869,0,1,6,8,20
870,0,1,6,9,19
871,0,1,6,10,18
872,0,1,6,11,17
873,0,1,6,12,16
874,0,1,6,13,15
875,0,1,6,14,14
876,0,1,6,15,13
877,0,1,6,16,12
878,0,1,6,17,11
879,0,1,6,18,10
880,0,1,6,19,9
881,0,1,6,20,8
882,0,1,6,21,7
883,0,1,6,22,6
884,0,1,6,23,5
885,0,1,6,24,4
886,0,1,6,25,3
887,0,1,6,26,2
888,0,1,6,27,1
889,0,1,6,28,0
890,0,1,7,0,27
891,0,1,7,1,26
892,0,1,7,2,25
893,0,1,7,3,24
894,0,1,7,4,23
895,0,1,7,5,22
896,0,1,7,6,21
897,0,1,7,7,20
898,0,1,7,8,19
899,0,1,7,9,18
900,0,1,7,10,17
901,0,1,7,11,16
902,0,1,7,12,15
903,0,1,7,13,14
904,0,1,7,14,13
905,0,1,7,15,12
906,0,1,7,16,11
907,0,1,7,17,10
908,0,1,7,18,9
909,0,1,7,19,8
910,0,1,7,20,7
911,0,1,7,21,6
912,0,1,7,22,5
913,0,1,7,23,4
914,0,1,7,24,3
915,0,1,7,25,2
916,0,1,7,26,1
917,0,1,7,27,0
918,0,1,8,0,26
919,0,1,8,1,25
920,0,1,8,2,24
921,0,1,8,3,23
922,0,1,8,4,22
923,0,1,8,5,21
924,0,1,8,6,20
925,0,1,8,7,19
926,0,1,8,8,18
927,0,1,8,9,17
928,0,1,8,10,16
929,0,1,8,11,15
930,0,1,8,12,14
931,0,1,8,13,13
932,0,1,8,14,12
933,0,1,8,15,11
934,0,1,8,16,10
935,0,1,8,17,9
936,0,1,8,18,8
937,0,1,8,19,7
938,0,1,8,20,6
939,0,1,8,21,5
940,0,1,8,22,4
941,0,1,8,23,3
942,0,1,8,24,2
943,0,1,8,25,1
944,0,1,8,26,0
945,0,1,9,0,25
946,0,1,9,1,24
947,0,1,9,2,23
948,0,1,9,3,22
949,0,1,9,4,21
950,0,1,9,5,20
951,0,1,9,6,19
952,0,1,9,7,18
953,0,1,9,8,17
954,0,1,9,9,16
955,0,1,9,10,15
956,0,1,9,11,14
957,0,1,9,12,13
958,0,1,9,13,12
959,0,1,9,14,11
960,0,1,9,15,10
961,0,1,9,16,9
962,0,1,9,17,8
963,0,1,9,18,7
964,0,1,9,19,6
965,0,1,9,20,5
966,0,1,9,21,4
967,0,1,9,22,3
968,0,1,9,23,2
969,0,1,9,24,1
970,0,1,9,25,0
971,0,1,10,0,24
972,0,1,10,1,23
973,0,1,10,2,22
974,0,1,10,3,21
975,0,1,10,4,20
976,0,1,10,5,19
977,0,1,10,6,18
978,0,1,10,7,17
979,0,1,10,8,16
980,0,1,10,9,15
981,0,1,10,10,14
982,0,1,10,11,13
983,0,1,10,12,12
984,0,1,10,13,11
985,0,1,10,14,10
986,0,1,10,15,9
987,0,1,10,16,8
988,0,1,10,17,7
989,0,1,10,18,6
990,0,1,10,19,5
991,0,1,10,20,4
992,0,1,10,21,3
993,0,1,10,22,2
994,0,1,10,23,1
995,0,1,10,24,0
996,0,1,11,0,23
997,0,1,11,1,22
998,0,1,11,2,21
999,0,1,11,3,20
1000,0,1,11,4,19
1001,0,1,11,5,18
1002,0,1,11,6,17
1003,0,1,11,7,16
1004,0,1,11,8,15
1005,0,1,11,9,14
1006,0,1,11,10,13
1007,0,1,11,11,12
1008,0,1,11,12,11
1009,0,1,11,13,10
1010,0,1,11,14,9
1011,0,1,11,15,8
1012,0,1,11,16,7
1013,0,1,11,17,6
1014,0,1,11,18,5
1015,0,1,11,19,4
1016,0,1,11,20,3
1017,0,1,11,21,2
1018,0,1,11,22,1
1019,0,1,11,23,0
1020,0,1,12,0,22
1021,0,1,12,1,21
1022,0,1,12,2,20
1023,0,1,12,3,19
1024,0,1,12,4,18
1025,0,1,12,5,17
1026,0,1,12,6,16
1027,0,1,12,7,15
1028,0,1,12,8,14
1029,0,1,12,9,13
1030,0,1,12,10,12
1031,0,1,12,11,11
1032,0,1,12,12,10
1033,0,1,12,13,9
1034,0,1,12,14,8
1035,0,1,12,15,7
1036,0,1,12,16,6
1037,0,1,12,17,5
1038,0,1,12,18,4
1039,0,1,12,19,3
1040,0,1,12,20,2
1041,0,1,12,21,1
1042,0,1,12,22,0
1043,0,1,13,0,21
1044,0,1,13,1,20
1045,0,1,13,2,19
1046,0,1,13,3,18
1047,0,1,13,4,17
1048,0,1,13,5,16
1049,0,1,13,6,15
1050,0,1,13,7,14
1051,0,1,13,8,13
1052,0,1,13,9,12
1053,0,1,13,10,11
1054,0,1,13,11,10
1055,0,1,13,12,9
1056,0,1,13,13,8
1057,0,1,13,14,7
1058,0,1,13,15,6
1059,0,1,13,16,5
1060,0,1,13,17,4
1061,0,1,13,18,3
1062,0,1,13,19,2
1063,0,1,13,20,1
1064,0,1,13,21,0
1065,0,1,14,0,20
1066,0,1,14,1,19
1067,0,1,14,2,18
1068,0,1,14,3,17
1069,0,1,14,4,16
1070,0,1,14,5,15
1071,0,1,14,6,14
1072,0,1,14,7,13
1073,0,1,14,8,12
1074,0,1,14,9,11
1075,0,1,14,10,10
1076,0,1,14,11,9
1077,0,1,14,12,8
1078,0,1,14,13,7
1079,0,1,14,14,6
1080,0,1,14,15,5
1081,0,1,14,16,4
1082,0,1,14,17,3
1083,0,1,14,18,2
1084,0,1,14,19,1
1085,0,1,14,20,0
1086,0,1,15,0,19
1087,0,1,15,1,18
1088,0,1,15,2,17
1089,0,1,15,3,16
1090,0,1,15,4,15
1091,0,1,15,5,14
1092,0,1,15,6,13
1093,0,1,15,7,12
1094,0,1,15,8,11
1095,0,1,15,9,10
1096,0,1,15,10,9
1097,0,1,15,11,8
1098,0,1,15,12,7
1099,0,1,15,13,6
1100,0,1,15,14,5
1101,0,1,15,15,4
1102,0,1,15,16,3
1103,0,1,15,17,2
1104,0,1,15,18,1
1105,0,1,15,19,0
1106,0,1,16,0,18
1107,0,1,16,1,17
1108,0,1,16,2,16
1109,0,1,16,3,15
1110,0,1,16,4,14
1111,0,1,16,5,13
1112,0,1,16,6,12
1113,0,1,16,7,11
1114,0,1,16,8,10
1115,0,1,16,9,9
1116,0,1,16,10,8
1117,0,1,16,11,7
1118,0,1,16,12,6
1119,0,1,16,13,5
1120,0,1,16,14,4
1121,0,1,16,15,3
1122,0,1,16,16,2
1123,0,1,16,17,1
1124,0,1,16,18,0
1125,0,1,17,0,17
1126,0,1,17,1,16
1127,0,1,17,2,15
1128,0,1,17,3,14
1129,0,1,17,4,13
1130,0,1,17,5,12
1131,0,1,17,6,11
1132,0,1,17,7,10
1133,0,1,17,8,9
1134,0,1,17,9,8
1135,0,1,17,10,7
1136,0,1,17,11,6
1137,0,1,17,12,5
1138,0,1,17,13,4
1139,0,1,17,14,3
1140,0,1,17,15,2
1141,0,1,17,16,1
1142,0,1,17,17,0
1143,0,1,18,0,16
1144,0,1,18,1,15
1145,0,1,18,2,14
1146,0,1,18,3,13
